word,frequency
Bedford,18
Because,18
awful,18
Atlantic,18
anchor,18
Ah,18
wise,17
weight,17
trunk,17
thrust,17
thinks,17
thin,17
Take,17
squall,17
son,17
solid,17
silence,17
shape,17
rush,17
rise,17
reach,17
rate,17
previously,17
pole,17
pilot,17
picture,17
pay,17
pale,17
owners,17
opposite,17
native,17
months,17
minute,17
met,17
marked,17
longer,17
lightning,17
lets,17
lamp,17
Ishmael,17
instantly,17
inserted,17
Horn,17
HIS,17
height,17
glory,17
gaze,17
forced,17
figure,17
fatal,17
fail,17
example,17
evening,17
doubloon,17
Death,17
continually,17
Christian,17
captured,17
canst,17
cannibal,17
bring,17
bore,17
bold,17
After,17
affair,17
advancing,17
yonder,16
wish,16
whaler,16
virtue,16
uncommon,16
unaccountable,16
tryworks,16
tried,16
town,16
tis,16
thunder,16
thousands,16
thine,16
stroke,16
starboard,16
spouts,16
spite,16
spermaceti,16
Soon,16
sit,16
sing,16
showed,16
sent,16
scuttle,16
scientific,16
respect,16
rare,16
race,16
putting,16
proved,16
pleasant,16
plank,16
paused,16
originally,16
OR,16
Only,16
oarsmen,16
numerous,16
neck,16
mystic,16
motion,16
moments,16
mentioned,16
Meanwhile,16
meaning,16
Man,16
madness,16
lowering,16
likewise,16
lee,16
laugh,16
keen,16
irons,16
hitherto,16
heres,16
heat,16
happened,16
golden,16
furnished,16
fully,16
fro,16
friends,16
foolish,16
floated,16
flame,16
fellows,16
feels,16
fairly,16
encountered,16
encounter,16
earthly,16
dropping,16
drink,16
dragged,16
distinct,16
crossing,16
civilized,16
carries,16
breath,16
blows,16
blacksmith,16
beef,16
beach,16
barrels,16
animal,16
amid,16
actually,16
yield,15
wound,15
working,15
Whether,15
weary,15
watching,15
violent,15
utmost,15
twelve,15
troubled,15
torn,15
tomahawk,15
thereby,15
tackles,15
sword,15
supposed,15
spray,15
spoke,15
spirit,15
spine,15
special,15
space,15
slid,15
shouted,15
shock,15
She,15
shadow,15
secured,15
save,15
sank,15
rushed,15
Roman,15
roll,15
rocks,15
return,15
pushed,15
pumps,15
prepared,15
position,15
please,15
pitch,15
perilous,15
palms,15
pains,15
pagan,15
ourselves,15
noon,15
need,15
nearer,15
muttered,15
missing,15
mention,15
matters,15
marvellous,15
marks,15
lying,15
lungs,15
latitudes,15
knowing,15
jump,15
joy,15
invisible,15
impossible,15
immense,15
ill,15
II,15
Hussey,15
However,15
horizontal,15
history,15
helped,15
heaving,15
grown,15
grey,15
grass,15
glass,15
frantic,15
fore,15
foam,15
flames,15
flag,15
fit,15
FastFish,15
exceedingly,15
entered,15
ends,15
endless,15
employed,15
drive,15
drag,15
Dont,15
doing,15
disappeared,15
cunning,15
coward,15
consider,15
compass,15
clean,15
children,15
careful,15
BY,15
breaking,15
boiling,15
binnacle,15
bag,15
bad,15
apart,15
afraid,15
Yojo,14
wrinkles,14
wrinkled,14
worth,14
works,14
Whos,14
whereas,14
whenever,14
whence,14
unseen,14
towing,14
tormented,14
terrific,14
streets,14
steward,14
sixty,14
simultaneously,14
silently,14
shake,14
shadows,14
seek,14
rushing,14
row,14
rolls,14
ring,14
returned,14
remember,14
readily,14
quarter,14
pulpit,14
points,14
pointing,14
plenty,14
pictures,14
phantom,14
Perth,14
perceived,14
opinion,14
opening,14
officer,14
occasionally,14
nights,14
neither,14
nay,14
moved,14
monsters,14
minds,14
measure,14
meant,14
mariner,14
marble,14
main,14
LooseFish,14
locked,14
lo,14
lifted,14
leaping,14
leak,14
latter,14
intent,14
indirectly,14
inch,14
immortal,14
immediately,14
hue,14
holy,14
heave,14
ha,14
grew,14
god,14
glided,14
Give,14
gained,14
future,14
frequently,14
food,14
foe,14
fly,14
firm,14
fill,14
faces,14
events,14
equal,14
eh,14
effect,14
dry,14
doom,14
dog,14
direction,14
departed,14
deemed,14
darting,14
dare,14
customary,14
critical,14
corner,14
copy,14
continued,14
continual,14
considered,14
colour,14
closely,14
child,14
chased,14
character,14
carrying,14
capture,14
canvas,14
bucket,14
blind,14
behold,14
Be,14
asked,14
anywhere,14
An,14
ages,14
YOU,13
window,13
